nShingles band row recall precision time
1000 2 4 0.9694444444444444 0.009523230391164223 153
1000 2 5 0.9416666666666668 0.04627450176783284 154
1000 2 6 0.9180555555555557 0.10331520275736188 166
1000 2 7 0.9111111111111112 0.13503883279021908 180
1000 2 8 0.8875 0.1788796430948791 192
1000 2 9 0.8500000000000002 0.22386681038320533 206
1000 2 10 0.8236111111111111 0.23296188130661685 218
1000 2 11 0.8041666666666668 0.24325875550117448 229
1000 2 12 0.8027777777777777 0.2603717367936137 244
1000 2 13 0.7666666666666668 0.272789127739308 256
1000 2 14 0.7638888888888888 0.286627476719136 269
1000 2 15 0.7402777777777778 0.28458212518952186 281
1000 3 4 0.9819444444444445 0.007476500452287073 183
1000 3 5 0.9777777777777776 0.03430716544714636 188
1000 3 6 0.9708333333333332 0.08131419225827234 205
1000 3 7 0.9527777777777777 0.1128288823238699 223
1000 3 8 0.9541666666666666 0.12553052433217265 243
1000 3 9 0.9305555555555556 0.1531195299476633 263
1000 3 10 0.9055555555555553 0.17567893973160814 280
1000 3 11 0.9013888888888889 0.18748028982625992 302
1000 3 12 0.8625 0.1978608144266399 318
1000 3 13 0.8444444444444444 0.2223601614330352 337
1000 3 14 0.825 0.23200582661511687 355
1000 3 15 0.8180555555555555 0.2345097018481364 374
10000 2 4 0.9573529411764709 0.059159473114383763 145
10000 2 5 0.9397058823529412 0.09824529113544102 156
10000 2 6 0.9161764705882354 0.13945138400393392 169
10000 2 7 0.9102941176470589 0.18194225373678927 184
10000 2 8 0.9 0.21001368371998858 195
10000 2 9 0.8485294117647058 0.24055106623008898 208
10000 2 10 0.8470588235294118 0.2529173538468126 221
10000 2 11 0.7999999999999999 0.2571162534832019 234
10000 2 12 0.7720588235294117 0.2752408231722685 248
10000 2 13 0.7573529411764706 0.2918959284981063 261
10000 2 14 0.7441176470588234 0.277685175771217 275
10000 2 15 0.7352941176470588 0.29888296920452756 287
10000 3 4 0.9882352941176471 0.045593007225083096 171
10000 3 5 0.9661764705882353 0.09622383449409729 192
10000 3 6 0.976470588235294 0.1178937560944695 209
10000 3 7 0.9367647058823529 0.13993194303216136 229
10000 3 8 0.95 0.16317591974016785 248
10000 3 9 0.9029411764705882 0.19002238991000817 269
10000 3 10 0.8882352941176471 0.18388949577839908 288
10000 3 11 0.875 0.20286407286585995 308
10000 3 12 0.8691176470588236 0.215345643819253 327
10000 3 13 0.8529411764705882 0.23446488558330877 345
10000 3 14 0.8294117647058823 0.2338470350990459 366
10000 3 15 0.7970588235294117 0.2293970780186688 384
100000 2 4 0.9615384615384617 0.0717269563075477 145
100000 2 5 0.9476923076923078 0.10529806283739543 155
100000 2 6 0.9246153846153847 0.14612611107809126 169
100000 2 7 0.8923076923076925 0.1811255207589107 182
100000 2 8 0.8769230769230768 0.2162133364337898 194
100000 2 9 0.8584615384615384 0.20896790896676495 208
100000 2 10 0.8461538461538461 0.24996861086877353 221
100000 2 11 0.8230769230769232 0.22767270119480934 235
100000 2 12 0.7784615384615384 0.24832757476727724 249
100000 2 13 0.783076923076923 0.26276272160340014 261
100000 2 14 0.7538461538461538 0.28110554795880527 272
100000 2 15 0.74 0.277958845407104 287
100000 3 4 0.9876923076923078 0.054022206933949414 170
100000 3 5 0.9815384615384616 0.0860598539815296 190
100000 3 6 0.9553846153846155 0.11380775214008201 211
100000 3 7 0.9707692307692308 0.13393494657035374 229
100000 3 8 0.9415384615384615 0.15005832559619822 249
100000 3 9 0.936923076923077 0.17170763576688794 267
100000 3 10 0.8861538461538464 0.19641173086787123 286
100000 3 11 0.8800000000000001 0.20520126643642547 307
100000 3 12 0.8800000000000001 0.2113484090734036 326
100000 3 13 0.8476923076923077 0.20776941234737084 345
100000 3 14 0.8446153846153847 0.22515870474933605 364
100000 3 15 0.8061538461538461 0.2199251299076837 385
